fixture_id,fecha,torneo,ronda,equipo,equipo_id,jugador_id,jugador,minutos,numero,posicion,rating,capitan,titular,tiros_total,tiros_a_gol,goles,goles_recibidos,asistencias,atajadas,pases_total,pases_clave,pases_precision,tackles,bloqueos,intercepciones,duelos_total,duelos_ganados,regates_intentos,regates_exitosos,regateado,faltas_recibidas,faltas_cometidas,amarillas,rojas,penal_ganado,penal_cometido,penal_anotado,penal_fallado,penal_atajado,fuera_de_juego
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35733,Jesús Rodríguez,90.0,30,G,7.2,False,True,,,,0,0.0,2.0,42.0,,39,,,,,,,,,,,0,0,,,0,0,0.0,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,10066,Gustavo Ferrareis,90.0,2,D,6.6,False,True,,,,0,0.0,,23.0,1.0,16,1.0,,1.0,5.0,1.0,,,1.0,,2.0,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,51658,Emanuel Gularte,89.0,17,D,6.9,False,True,1.0,,,0,0.0,,41.0,,35,2.0,,,9.0,4.0,1.0,1.0,,,2.0,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,374039,Sebastian Olmedo,90.0,3,D,6.9,False,True,,,,0,0.0,,57.0,,51,,,,7.0,4.0,,,,,2.0,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35735,Brayan Angulo,90.0,26,D,7.7,False,True,1.0,,,0,0.0,,38.0,2.0,30,2.0,,1.0,11.0,7.0,5.0,4.0,,1.0,1.0,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35782,Diego de Buen,90.0,5,M,6.7,True,True,2.0,2.0,,0,0.0,,32.0,,26,3.0,,1.0,10.0,5.0,1.0,,3.0,1.0,1.0,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,13406,Kevin Velasco,66.0,20,M,6.9,False,True,,,,0,0.0,,12.0,1.0,6,2.0,,,4.0,2.0,1.0,,1.0,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35656,Raúl Castillo,73.0,12,M,7.5,False,True,,,,0,0.0,,26.0,3.0,22,,1.0,,6.0,3.0,2.0,2.0,1.0,,1.0,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,51640,Facundo Waller,66.0,15,M,7.3,False,True,2.0,1.0,,0,0.0,,22.0,1.0,18,1.0,,,7.0,5.0,1.0,1.0,,2.0,1.0,1,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35632,Daniel Álvarez,66.0,7,M,6.7,False,True,1.0,1.0,,0,0.0,,14.0,1.0,10,,,,6.0,1.0,2.0,,2.0,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35766,Lucas Cavallini,90.0,9,F,7.9,False,True,5.0,1.0,1.0,0,0.0,,15.0,1.0,11,2.0,,,14.0,9.0,,,1.0,3.0,2.0,0,0,,,1,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,269414,Jair Gonzalez,24.0,10,M,6.7,False,False,1.0,,,0,0.0,,9.0,,6,,,,4.0,2.0,1.0,,,2.0,,0,0,,,0,0,,1.0
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,333856,Alberto Herrera,24.0,16,M,6.9,False,False,,,,0,0.0,,9.0,1.0,9,1.0,,,4.0,2.0,1.0,1.0,,,2.0,0,0,,,0,0,,1.0
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,92712,Luis Garcia,24.0,8,F,6.6,False,False,,,,0,0.0,,4.0,,2,1.0,,,2.0,2.0,1.0,1.0,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35754,Pablo González,17.0,6,M,6.3,False,False,,,,0,0.0,,5.0,,3,,,,,,,,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35663,Efrain Orona,11.0,4,M,6.7,False,False,,,,0,0.0,,,,,,,1.0,,,,,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35865,Miguel Jiménez,,25,G,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,297145,Jorge Rodríguez,,33,D,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,157905,Ángel Robles,,19,M,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,35768,Santiago Ormeño,,14,F,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Puebla,2291,474285,Eduardo Navarro,,192,F,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1206004,2024-07-05,Apertura,Apertura - 1,Santos Laguna,2285,195707,Hector Holguin,90.0,33,G,7.2,False,True,,,,1,0.0,4.0,40.0,,33,,,,,,,,,,,0,0,,,0,0,0.0,
