fixture_id,fecha,torneo,ronda,arbitro,estadio,side,equipo,equipo_id,oponente,goles,goles_rival,goles_ht,resultado,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1206004,2024-07-05,Apertura,Apertura - 1,J. Camacho,Estadio Cuauhtémoc,home,Puebla,2291,Santos Laguna,1,0,0,W,5,8,16,3,11,5,14,8,2.0,40%,1.0,,2.0,349,284,81%,,
1206004,2024-07-05,Apertura,Apertura - 1,J. Camacho,Estadio Cuauhtémoc,away,Santos Laguna,2285,Puebla,0,1,0,L,2,3,6,1,2,4,11,1,0.0,60%,3.0,,4.0,553,488,88%,,
1206003,2024-07-06,Apertura,Apertura - 1,L. García,Estadio Corregidora,home,Club Queretaro,2290,Club Tijuana,1,2,0,L,4,2,8,2,6,2,14,4,2.0,37%,3.0,,3.0,246,157,64%,,
1206003,2024-07-06,Apertura,Apertura - 1,L. García,Estadio Corregidora,away,Club Tijuana,2280,Club Queretaro,2,1,1,W,5,10,18,3,8,10,14,7,0.0,63%,0.0,,3.0,439,366,83%,,
1206005,2024-07-06,Apertura,Apertura - 1,Ó. Macías,Estadio Olímpico Benito Juárez,home,FC Juarez,2298,Atlas,2,2,1,D,2,5,11,4,4,7,15,2,0.0,58%,2.0,,1.0,370,291,79%,,
1206005,2024-07-06,Apertura,Apertura - 1,Ó. Macías,Estadio Olímpico Benito Juárez,away,Atlas,2283,FC Juarez,2,2,0,D,3,8,11,0,6,5,14,5,2.0,42%,2.0,,0.0,259,174,67%,,
1206006,2024-07-06,Apertura,Apertura - 1,I. López,Estadio Alfonso Lastras Ramírez,home,Atletico San Luis,2314,Club America,2,1,1,W,5,4,10,1,6,4,12,5,1.0,36%,2.0,,5.0,270,225,83%,,
1206006,2024-07-06,Apertura,Apertura - 1,I. López,Estadio Alfonso Lastras Ramírez,away,Club America,2287,Atletico San Luis,1,2,1,L,6,3,10,1,5,5,11,2,1.0,64%,2.0,,3.0,499,447,90%,,
1206008,2024-07-07,Apertura,Apertura - 1,J. Lopez,Estadio AKRON,home,Guadalajara Chivas,2278,Toluca,0,0,0,D,4,10,16,2,8,8,5,4,2.0,51%,1.0,,2.0,424,369,87%,,
1206008,2024-07-07,Apertura,Apertura - 1,J. Lopez,Estadio AKRON,away,Toluca,2281,Guadalajara Chivas,0,0,0,D,2,5,11,4,7,4,11,6,2.0,49%,2.0,,4.0,412,337,82%,,
1206007,2024-07-07,Apertura,Apertura - 1,V. Arce,Estadio Universitario,home,Tigres UANL,2279,Necaxa,1,0,1,W,4,8,16,4,7,9,8,7,,57%,0.0,,3.0,516,427,83%,,
1206007,2024-07-07,Apertura,Apertura - 1,V. Arce,Estadio Universitario,away,Necaxa,2288,Tigres UANL,0,1,0,L,3,5,10,2,7,3,13,5,,43%,1.0,,3.0,390,304,78%,,
1206009,2024-07-07,Apertura,Apertura - 1,K. Hernández,Estadio Ciudad de los Deportes,home,Cruz Azul,2295,Mazatlán,1,0,0,W,7,9,18,2,12,6,8,6,1.0,66%,3.0,1.0,1.0,513,456,89%,,
1206009,2024-07-07,Apertura,Apertura - 1,K. Hernández,Estadio Ciudad de los Deportes,away,Mazatlán,14002,Cruz Azul,0,1,0,L,1,7,8,0,6,2,9,0,2.0,34%,1.0,0.0,6.0,275,204,74%,,
1206010,2024-07-07,Apertura,Apertura - 1,M. Quintero,Estadio Olímpico Universitario,home,U.N.A.M. - Pumas,2286,Leon,4,1,2,W,7,5,14,2,8,6,13,6,0.0,49%,1.0,,2.0,316,230,73%,,
1206010,2024-07-07,Apertura,Apertura - 1,M. Quintero,Estadio Olímpico Universitario,away,Leon,2289,U.N.A.M. - Pumas,1,4,1,L,3,5,9,1,2,7,11,3,1.0,51%,3.0,,4.0,317,230,73%,,
1206011,2024-07-08,Apertura,Apertura - 1,I. Lopez,Estadio Hidalgo,home,Pachuca,2292,Monterrey,0,1,0,L,4,10,17,3,8,9,9,8,0.0,57%,3.0,,2.0,483,420,87%,,
1206011,2024-07-08,Apertura,Apertura - 1,I. Lopez,Estadio Hidalgo,away,Monterrey,2282,Pachuca,1,0,1,W,3,5,8,0,5,3,10,1,3.0,43%,4.0,,4.0,379,298,79%,,
1206012,2024-07-13,Apertura,Apertura - 2,K. Garcia,Estadio Ciudad de los Deportes,home,Club America,2287,Club Queretaro,3,1,2,W,4,7,12,1,9,3,9,1,1.0,59%,1.0,,0.0,560,495,88%,,
1206012,2024-07-13,Apertura,Apertura - 2,K. Garcia,Estadio Ciudad de los Deportes,away,Club Queretaro,2290,Club America,1,3,1,L,1,5,9,3,5,4,12,5,2.0,41%,2.0,,1.0,377,309,82%,,
1206014,2024-07-13,Apertura,Apertura - 2,I. López,Estadio Caliente,home,Club Tijuana,2280,Guadalajara Chivas,4,2,1,W,6,4,13,3,8,5,14,2,0.0,46%,2.0,,1.0,347,263,76%,,
1206014,2024-07-13,Apertura,Apertura - 2,I. López,Estadio Caliente,away,Guadalajara Chivas,2278,Club Tijuana,2,4,0,L,2,6,11,3,10,1,13,4,3.0,54%,2.0,,1.0,396,295,74%,,
1206013,2024-07-13,Apertura,Apertura - 2,M. Molina,Estadio El Encanto,home,Mazatlán,14002,Atletico San Luis,2,2,0,D,5,11,18,2,12,6,13,5,2.0,53%,2.0,,3.0,428,353,82%,,
1206013,2024-07-13,Apertura,Apertura - 2,M. Molina,Estadio El Encanto,away,Atletico San Luis,2314,Mazatlán,2,2,0,D,5,4,11,2,6,5,8,4,0.0,47%,1.0,,3.0,384,315,82%,,
1206015,2024-07-13,Apertura,Apertura - 2,J. Camacho,Estadio Jalisco,home,Atlas,2283,Tigres UANL,1,1,1,D,3,5,10,2,6,4,12,4,1.0,44%,1.0,,3.0,372,296,80%,,
1206015,2024-07-13,Apertura,Apertura - 2,J. Camacho,Estadio Jalisco,away,Tigres UANL,2279,Atlas,1,1,0,D,4,5,15,6,7,8,9,3,1.0,56%,1.0,,2.0,476,401,84%,,
1206016,2024-07-13,Apertura,Apertura - 2,A. Quirarte,Estadio Victoria,home,Necaxa,2288,Puebla,4,1,2,W,9,12,25,4,14,11,7,5,3.0,47%,2.0,,4.0,352,289,82%,,
1206016,2024-07-13,Apertura,Apertura - 2,A. Quirarte,Estadio Victoria,away,Puebla,2291,Necaxa,1,4,0,L,5,6,18,7,12,6,6,5,1.0,53%,0.0,,5.0,398,330,83%,,
1206017,2024-07-13,Apertura,Apertura - 2,S. Pérez Villalobos,Estadio León,home,Leon,2289,Pachuca,0,0,0,D,5,4,10,1,2,8,24,9,2.0,58%,3.0,1.0,3.0,411,332,81%,,
1206017,2024-07-13,Apertura,Apertura - 2,S. Pérez Villalobos,Estadio León,away,Pachuca,2292,Leon,0,0,0,D,3,5,9,1,4,5,5,1,4.0,42%,3.0,1.0,5.0,314,238,76%,,
1206018,2024-07-14,Apertura,Apertura - 2,V. Arce,Estadio Nemesio Díez,home,Toluca,2281,FC Juarez,3,2,2,W,3,5,9,1,8,1,15,7,0.0,47%,0.0,,3.0,407,336,83%,,
1206018,2024-07-14,Apertura,Apertura - 2,V. Arce,Estadio Nemesio Díez,away,FC Juarez,2298,Toluca,2,3,0,L,5,4,10,1,8,2,5,3,1.0,53%,3.0,,1.0,463,403,87%,,
1206019,2024-07-14,Apertura,Apertura - 2,M. Terrazas,Estadio Corona,home,Santos Laguna,2285,U.N.A.M. - Pumas,1,1,1,D,2,3,9,4,6,3,12,4,5.0,49%,4.0,1.0,4.0,367,300,82%,,
1206019,2024-07-14,Apertura,Apertura - 2,M. Terrazas,Estadio Corona,away,U.N.A.M. - Pumas,2286,Santos Laguna,1,1,1,D,5,11,28,12,17,11,18,11,3.0,51%,2.0,0.0,1.0,375,308,82%,,
1206020,2024-07-14,Apertura,Apertura - 2,M. Quintero,Estadio BBVA,home,Monterrey,2282,Cruz Azul,0,4,0,L,0,7,9,2,3,6,11,2,5.0,46%,2.0,,4.0,420,349,83%,,
1206020,2024-07-14,Apertura,Apertura - 2,M. Quintero,Estadio BBVA,away,Cruz Azul,2295,Monterrey,4,0,2,W,9,5,15,1,13,2,7,3,3.0,54%,1.0,,0.0,507,440,87%,,
1206022,2024-07-17,Apertura,Apertura - 3,L. Santander,Estadio Jalisco,home,Atlas,2283,Santos Laguna,1,0,0,W,5,9,22,8,15,7,11,8,1.0,49%,1.0,,0.0,404,344,85%,,
1206022,2024-07-17,Apertura,Apertura - 3,L. Santander,Estadio Jalisco,away,Santos Laguna,2285,Atlas,0,1,0,L,0,1,2,1,0,2,12,4,0.0,51%,2.0,,3.0,437,377,86%,,
