fixture_id,fecha,torneo,ronda,arbitro,estadio,side,equipo,equipo_id,oponente,goles,goles_rival,goles_ht,resultado,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1323483,2025-01-11,Clausura,Clausura - 1,J. Lopez,Estadio Corregidora,home,Club Queretaro,2290,Club America,0,1,0,L,0,5,6,1,3,3,17,1,1.0,40%,2.0,1.0,6.0,376,297,79%,,
1323483,2025-01-11,Clausura,Clausura - 1,J. Lopez,Estadio Corregidora,away,Club America,2287,Club Queretaro,1,0,0,W,7,11,23,5,9,14,8,6,2.0,60%,1.0,0.0,0.0,567,513,90%,,
1323485,2025-01-11,Clausura,Clausura - 1,F. Hernández,Estadio El Encanto,home,Mazatlán,14002,FC Juarez,1,1,0,D,2,6,11,3,8,3,15,6,2.0,52%,4.0,,3.0,453,379,84%,,
1323485,2025-01-11,Clausura,Clausura - 1,F. Hernández,Estadio El Encanto,away,FC Juarez,2298,Mazatlán,1,1,1,D,4,5,10,1,5,5,10,6,0.0,48%,1.0,,1.0,428,359,84%,,
1323484,2025-01-11,Clausura,Clausura - 1,J. Camacho,Estadio Caliente,home,Club Tijuana,2280,Toluca,2,4,1,L,7,9,21,5,12,9,8,2,1.0,72%,1.0,,5.0,644,568,88%,,
1323484,2025-01-11,Clausura,Clausura - 1,J. Camacho,Estadio Caliente,away,Toluca,2281,Club Tijuana,4,2,1,W,9,8,21,4,15,6,12,5,4.0,28%,3.0,,5.0,245,164,67%,,
1323486,2025-01-11,Clausura,Clausura - 1,G. Pacheco,Estadio Alfonso Lastras Ramírez,home,Atletico San Luis,2314,Tigres UANL,1,3,1,L,6,2,12,4,6,6,11,6,0.0,49%,0.0,1.0,2.0,479,389,81%,,
1323486,2025-01-11,Clausura,Clausura - 1,G. Pacheco,Estadio Alfonso Lastras Ramírez,away,Tigres UANL,2279,Atletico San Luis,3,1,1,W,6,4,14,4,8,6,10,5,1.0,51%,1.0,0.0,5.0,490,413,84%,,
1323488,2025-01-12,Clausura,Clausura - 1,D. Quintero,Estadio AKRON,home,Guadalajara Chivas,2278,Santos Laguna,1,0,0,W,3,10,16,3,8,8,17,5,2.0,60%,1.0,0.0,2.0,433,353,82%,,
1323488,2025-01-12,Clausura,Clausura - 1,D. Quintero,Estadio AKRON,away,Santos Laguna,2285,Guadalajara Chivas,0,1,0,L,2,2,7,3,3,4,13,4,1.0,40%,2.0,1.0,2.0,290,208,72%,,
1323489,2025-01-12,Clausura,Clausura - 1,M. Quintero,Estadio Olímpico Universitario,home,Cruz Azul,2295,Atlas,1,1,1,D,4,7,13,2,8,5,12,8,1.0,66%,1.0,,1.0,555,467,84%,,
1323489,2025-01-12,Clausura,Clausura - 1,M. Quintero,Estadio Olímpico Universitario,away,Atlas,2283,Cruz Azul,1,1,0,D,2,9,12,1,5,7,10,4,2.0,34%,1.0,,3.0,277,201,73%,,
1323786,2025-01-12,Clausura,Clausura - 1,I. Lopez,Estadio Olímpico Universitario,home,U.N.A.M. - Pumas,2286,Necaxa,2,1,2,W,7,5,15,3,10,5,20,6,2.0,40%,3.0,,7.0,296,203,69%,,
1323786,2025-01-12,Clausura,Clausura - 1,I. Lopez,Estadio Olímpico Universitario,away,Necaxa,2288,U.N.A.M. - Pumas,1,2,0,L,8,8,25,9,12,13,11,2,2.0,60%,0.0,,5.0,436,357,82%,,
1323487,2025-01-13,Clausura,Clausura - 1,L. García,Estadio BBVA,home,Monterrey,2282,Puebla,1,1,1,D,2,8,16,6,9,7,13,10,1.0,69%,0.0,,4.0,694,605,87%,,
1323487,2025-01-13,Clausura,Clausura - 1,L. García,Estadio BBVA,away,Puebla,2291,Monterrey,1,1,0,D,5,4,10,1,5,5,15,1,0.0,31%,3.0,,1.0,316,240,76%,,
1323491,2025-01-17,Clausura,Clausura - 2,K. Garcia,Estadio Ciudad de los Deportes,home,Club America,2287,Club Tijuana,1,1,0,D,8,5,17,4,10,7,6,6,1.0,31%,1.0,,4.0,261,202,77%,,
1323491,2025-01-17,Clausura,Clausura - 2,K. Garcia,Estadio Ciudad de los Deportes,away,Club Tijuana,2280,Club America,1,1,1,D,5,6,11,0,3,8,11,0,1.0,69%,3.0,,7.0,616,555,90%,,
1323493,2025-01-18,Clausura,Clausura - 2,Ó. Mejía,Estadio Universitario,home,Tigres UANL,2279,Mazatlán,2,1,0,W,3,7,14,4,7,7,10,6,2.0,62%,3.0,,3.0,539,462,86%,,
1323493,2025-01-18,Clausura,Clausura - 2,Ó. Mejía,Estadio Universitario,away,Mazatlán,14002,Tigres UANL,1,2,0,L,4,2,7,1,5,2,11,5,1.0,38%,6.0,,2.0,323,239,74%,,
1323492,2025-01-18,Clausura,Clausura - 2,A. Quirarte,Estadio Cuauhtémoc,home,Puebla,2291,Atletico San Luis,1,2,1,L,2,3,7,2,1,6,12,3,6.0,39%,2.0,,1.0,373,299,80%,,
1323492,2025-01-18,Clausura,Clausura - 2,A. Quirarte,Estadio Cuauhtémoc,away,Atletico San Luis,2314,Puebla,2,1,1,W,3,6,11,2,1,10,11,4,0.0,61%,2.0,,1.0,588,518,88%,,
1323494,2025-01-18,Clausura,Clausura - 2,S. Pérez Villalobos,Estadio Victoria,home,Necaxa,2288,Guadalajara Chivas,3,2,0,W,6,3,17,8,8,9,21,5,0.0,50%,4.0,,0.0,363,295,81%,,
1323494,2025-01-18,Clausura,Clausura - 2,S. Pérez Villalobos,Estadio Victoria,away,Guadalajara Chivas,2278,Necaxa,2,3,0,L,2,3,8,3,4,4,15,6,3.0,50%,3.0,,3.0,361,299,83%,,
