fixture_id,bookmaker,prob_home,prob_draw,prob_away
1492515,Pinnacle,0.4947,0.2579,0.2474
1492516,Pinnacle,0.3809,0.2977,0.3214
1492517,Pinnacle,0.6512,0.2021,0.1467
1492518,Pinnacle,0.2017,0.2676,0.5308
1492519,Pinnacle,0.3845,0.3019,0.3136
1492520,Pinnacle,0.5909,0.2199,0.1892
1492521,Pinnacle,0.174,0.2416,0.5843
1492522,Pinnacle,0.4206,0.2601,0.3193
1492523,Pinnacle,0.3545,0.2659,0.3796
1492524,Pinnacle,0.3743,0.3123,0.3134
1492525,Pinnacle,0.6582,0.2094,0.1324
1492526,Pinnacle,0.2511,0.2658,0.4831
1492527,Bet365,0.503,0.2585,0.2386
1492528,Bet365,0.4667,0.2667,0.2667
1492529,Bet365,0.4665,0.2744,0.2591
1492530,Pinnacle,0.4973,0.2617,0.2411
1492531,Pinnacle,0.4729,0.3116,0.2155
1492532,Pinnacle,0.4342,0.262,0.3038
1492533,Bet365,0.4049,0.2739,0.3211
1492534,Pinnacle,0.4725,0.2769,0.2506
